posted,neighborhood,post title,URL,price,city
2020-04-05 14:06:00,(Schulenburg,1988 Honda CR250R,https://austin.craigslist.org/mcy/d/schulenburg-1988-honda-cr250r/7103908348.html,1000.0,Austin
2020-04-05 11:56:00,(North Austin,Piaggio Fly 150,https://austin.craigslist.org/mcy/d/austin-piaggio-fly-150/7103843740.html,1650.0,Austin
2020-04-05 09:31:00,"(Austin, Tx",2017 Triumph Thruxton 1200 R Silver Ice,https://austin.craigslist.org/mcd/d/austin-2017-triumph-thruxton-1200/7103780387.html,10480.0,Austin
2020-04-05 09:31:00,"(Austin, Tx",2016 Honda® XR650L,https://austin.craigslist.org/mcd/d/austin-2016-honda-xr650l/7103780369.html,5180.0,Austin
2020-04-05 09:31:00,"(Austin, Tx",2016 Yamaha YZF-R1,https://austin.craigslist.org/mcd/d/austin-2016-yamaha-yzf-r1/7103780344.html,10981.0,Austin
2020-04-05 09:31:00,"(Austin, Tx",2015 Yamaha FJ-09,https://austin.craigslist.org/mcd/d/austin-2015-yamaha-fj-09/7103780341.html,7380.0,Austin
2020-04-05 08:01:00,"(Round Rock, Tx",2015 Harley-Davidson® FLHX - Street Glide®,https://austin.craigslist.org/mcd/d/round-rock-2015-harley-davidson-flhx/7103752883.html,14950.0,Austin
2020-04-05 08:01:00,"(Round Rock, Tx",2015 BMW K 1600 GT Premium,https://austin.craigslist.org/mcd/d/round-rock-2015-bmw-1600-gt-premium/7103752860.html,13880.0,Austin
2020-04-05 08:01:00,"(Round Rock, Tx",2014 Honda® CB1100,https://austin.craigslist.org/mcd/d/round-rock-2014-honda-cb1100/7103752848.html,6850.0,Austin
2020-04-05 03:05:00,(Delivered To Your Doorstep Starting At $189,2018 Suzuki Boulevard M109R B.O.S.S.  -Premium Dealer!,https://austin.craigslist.org/mcd/d/las-vegas-2018-suzuki-boulevard-m109r/7103720534.html,7995.0,Austin
2020-04-04 19:50:00,(South Congress,2016 KTM 690 Enduro R,https://austin.craigslist.org/mcy/d/austin-2016-ktm-690-enduro/7103648753.html,7500.0,Austin
2020-04-04 19:40:00,"(Round Rock, Tx",2016 Indian Motorcycle® Chieftain® Thunder Black,https://austin.craigslist.org/mcd/d/round-rock-2016-indian-motorcycle/7103645631.html,13999.0,Austin
2020-04-04 17:29:00,(Spicewood,2004 Bmw r1150r Rockster,https://austin.craigslist.org/mcy/d/spicewood-2004-bmw-r1150r-rockster/7103597656.html,3250.0,Austin
2020-04-04 16:19:00,"(Austintx.,",2003 honda goldwing 1800,https://austin.craigslist.org/mcy/d/austin-2003-honda-goldwing-1800/7103566688.html,5500.0,Austin
2020-04-04 16:19:00,(Round Rock,2001 Honda RC51,https://austin.craigslist.org/mcy/d/round-rock-2001-honda-rc51/7103566227.html,4000.0,Austin
2020-04-04 15:48:00,(Harley-Davidson Softail,2013 *Harley-Davidson* *Softail* *Breakout*,https://austin.craigslist.org/mcd/d/austin-2013-harley-davidson-softail/7103551256.html,12995.0,Austin
2020-04-04 15:48:00,(Harley Davidson Xl1200X,2018 *Harley Davidson* *XL1200X* *Forty-Eight*,https://austin.craigslist.org/mcd/d/austin-2018-harley-davidson-xl1200x/7103550941.html,10995.0,Austin
2020-04-04 15:47:00,(Kawasaki Ninja,2015 *Kawasaki* *Ninja* *1000* ABS,https://austin.craigslist.org/mcd/d/austin-2015-kawasaki-ninja-1000-abs/7103550876.html,9995.0,Austin
2020-04-04 14:26:00,(Del Valle Tx,Kawasaki 2002 each,https://austin.craigslist.org/mcy/d/del-valle-kawasaki-2002-each/7103507905.html,1500.0,Austin
2020-04-04 13:05:00,(South Central,2011 Vespa GTS 300,https://austin.craigslist.org/mcy/d/austin-2011-vespa-gts-300/7103460987.html,2500.0,Austin
2020-04-04 12:20:00,"(Round Rock, Tx",2016 Harley-Davidson® FLHXSE - CVO™ Street Glide®,https://austin.craigslist.org/mcd/d/round-rock-2016-harley-davidson-flhxse/7103434147.html,22880.0,Austin
2020-04-04 11:31:00,"(Round Rock, Tx",2013 Suzuki SFV650 Gladius,https://austin.craigslist.org/mcd/d/round-rock-2013-suzuki-sfv650-gladius/7103404799.html,3950.0,Austin
2020-04-04 11:31:00,"(Round Rock, Tx",2018 Harley-Davidson® FLHTP Electra Glide Police,https://austin.craigslist.org/mcd/d/round-rock-2018-harley-davidson-flhtp/7103404733.html,14450.0,Austin
2020-04-04 10:10:00,(Llano Texas,1956 Cushman Iron Eagle Scooter,https://austin.craigslist.org/mcy/d/llano-1956-cushman-iron-eagle-scooter/7103358986.html,3450.0,Austin
2020-04-04 09:16:00,(San Angelo,2012 ducati 1199 panigale,https://austin.craigslist.org/mcy/d/san-angelo-2012-ducati-1199-panigale/7103333028.html,10500.0,Austin
2020-04-04 09:05:00,(Delivered To Your Doorstep Starting At $189,2019 Moto Guzzi V7 III STONE  -Premium Dealer!,https://austin.craigslist.org/mcd/d/las-vegas-2019-moto-guzzi-v7-iii-stone/7103328295.html,5995.0,Austin
2020-04-04 08:26:00,"(Austin, Tx",2018 Honda® CBR500R,https://austin.craigslist.org/mcd/d/austin-2018-honda-cbr500r/7103313389.html,5980.0,Austin
2020-04-04 08:26:00,"(Austin, Tx",2018 Harley-Davidson® FLHRXS - Road King® Special,https://austin.craigslist.org/mcd/d/austin-2018-harley-davidson-flhrxs-road/7103313390.html,19980.0,Austin
2020-04-04 08:26:00,"(Austin, Tx",2018 Harley-Davidson® XG750A - Street Rod,https://austin.craigslist.org/mcd/d/austin-2018-harley-davidson-xg750a/7103313341.html,7380.0,Austin
2020-04-04 08:26:00,"(Austin, Tx",2019 Husqvarna® VITPILRN 701,https://austin.craigslist.org/mcd/d/austin-2019-husqvarna-vitpilrn-701/7103313325.html,10380.0,Austin
2020-04-04 08:01:00,"(Round Rock, Tx",2017 Triumph Tiger Explorer XCX Lucerne Blue,https://austin.craigslist.org/mcd/d/round-rock-2017-triumph-tiger-explorer/7103305296.html,12780.0,Austin
2020-04-04 08:01:00,"(Round Rock, Tx",2018 Triumph Bonneville Speedmaster,https://austin.craigslist.org/mcd/d/round-rock-2018-triumph-bonneville/7103305289.html,9950.0,Austin
2020-04-04 08:01:00,"(Round Rock, Tx",2005 BMW R 1200 GS,https://austin.craigslist.org/mcd/d/round-rock-2005-bmw-1200-gs/7103305287.html,4980.0,Austin
2020-04-03 17:50:00,(Downtown,1981 Ironhead - Harley Sportster XLH1000 - $4000 OBO,https://austin.craigslist.org/mcy/d/austin-1981-ironhead-harley-sportster/7103147285.html,4000.0,Austin
2020-04-03 17:34:00,(Austin (Steiner Ranch,2012 Suzuki V Strom 650 ABS,https://austin.craigslist.org/mcy/d/austin-2012-suzuki-strom-650-abs/7103140469.html,4650.0,Austin
2020-04-03 15:20:00,(Austin,Harley davidson FXD Bobber,https://austin.craigslist.org/mcy/d/austin-harley-davidson-fxd-bobber/7103073028.html,6700.0,Austin
2020-04-03 15:04:00,(Spectrum Motors,2017 Triumph Street Triple R ABS! Only 325 Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2017-triumph-street-triple-abs/7103063594.html,7388.0,Austin
2020-04-03 14:53:00,(Spectrum Motors,2007 BMW K 1200 GT! Beautiful Condition! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2007-bmw-1200-gt-beautiful/7103057478.html,5388.0,Austin
2020-04-03 14:43:00,(Spectrum Motors,2007 Honda ST1300 ABS! Beautiful Condition! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2007-honda-st1300-abs-beautiful/7103052101.html,4788.0,Austin
2020-04-03 14:34:00,(Buda,2017 Harley street bob,https://austin.craigslist.org/mcy/d/buda-2017-harley-street-bob/7103046955.html,10000.0,Austin
2020-04-03 14:30:00,(Spectrum Motors,2014 Kawasaki Concours14 ABS! Only8K Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2014-kawasaki-concours14-abs/7103044581.html,8788.0,Austin
2020-04-03 14:19:00,(Spectrum Motors,2017 Triumph Tiger 800 XRX! Only6k Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2017-triumph-tiger-800-xrx-only6k/7103038339.html,8388.0,Austin
2020-04-03 14:11:00,(Spectrum Motors,2018 Ducati Scrambler Cafe Racer! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2018-ducati-scrambler-cafe-racer/7103033626.html,8788.0,Austin
2020-04-03 14:08:00,(Spectrum Motors,2017 Yamaha SCR950! Tons of Adds! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2017-yamaha-scr950-tons-of-adds/7103031856.html,4988.0,Austin
2020-04-03 14:04:00,(Spectrum Motors,2014 Moto Guzzi Norge GT! Only 7k Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2014-moto-guzzi-norge-gt-only-7k/7103029451.html,6788.0,Austin
2020-04-03 14:01:00,(Spectrum Motors,2008 BMW K 1200 GT! Only 17k Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2008-bmw-1200-gt-only-17k-miles/7103027881.html,6788.0,Austin
2020-04-03 13:59:00,(Spectrum Motors,2015 Kawasaki Versys 1000 LT! Only 2k Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2015-kawasaki-versys-1000-lt-only/7103026422.html,7388.0,Austin
2020-04-03 13:55:00,(Spectrum Motors,2018 Kawasaki KLR 650! Less Than 1K Miles! We Deliver!,https://austin.craigslist.org/mcd/d/troup-2018-kawasaki-klr-650-less-than/7103024397.html,5288.0,Austin
2020-04-03 13:19:00,(Sw Austin,2008 Vespa GTS 250,https://austin.craigslist.org/mcy/d/austin-2008-vespa-gts-250/7103002458.html,1200.0,Austin
2020-04-03 12:59:00,(Urban Motorsports 1402 Hether St,Genuine Buddy 125,https://austin.craigslist.org/mcd/d/austin-genuine-buddy-125/7102990603.html,2399.0,Austin
2020-04-03 12:47:00,(Urban Motorsports 1402 Hether St,Genuine Buddy 125,https://austin.craigslist.org/mcd/d/austin-genuine-buddy-125/7102983652.html,2199.0,Austin
2020-04-03 12:46:00,(Urban Motorsports 1402 Hether St,Lance Cali Classic 150,https://austin.craigslist.org/mcd/d/austin-lance-cali-classic-150/7102982933.html,1999.0,Austin
2020-04-03 12:45:00,(Urban Motorsports 1402 Hether St,Vespa GTS 250,https://austin.craigslist.org/mcd/d/austin-vespa-gts-250/7102981965.html,3899.0,Austin
2020-04-03 12:39:00,(Delivered To Your Doorstep Starting At $189,2016 BMW R1200 GS  -Finance it with Instant Credit Approval!,https://austin.craigslist.org/mcd/d/las-vegas-2016-bmw-r1200-gs-finance-it/7102978570.html,11995.0,Austin
2020-04-03 12:02:00,(Mission City Indian Motorcycle,2020 Indian Challenger Limited Thunder Black Pearl V Twin,https://austin.craigslist.org/mcd/d/boerne-2020-indian-challenger-limited/7102955218.html,27999.0,Austin
2020-04-03 11:51:00,(Lakeway,2016 Ducati 1299 Panigalie,https://austin.craigslist.org/mcy/d/austin-2016-ducati-1299-panigalie/7102948422.html,16000.0,Austin
2020-04-03 11:34:00,(Mission City Indian Motorcycle,2020 Indian Scout Bobber ABS Thunder Black Smoke V Twin 1133 cc,https://austin.craigslist.org/mcd/d/boerne-2020-indian-scout-bobber-abs/7102937389.html,12399.0,Austin
2020-04-03 11:09:00,(West,2014 Harley Davidson Tri Glide Trike - Low miles,https://austin.craigslist.org/mcy/d/houston-2014-harley-davidson-tri-glide/7102921011.html,17900.0,Austin
2020-04-03 11:07:00,(Low Miles,2013 Harley Davidson Heritage Softail,https://austin.craigslist.org/mcy/d/houston-2013-harley-davidson-heritage/7102920245.html,9200.0,Austin
2020-04-03 08:24:00,"(Austin, Tx",2017 Harley-Davidson® XG750A - Street Rod,https://austin.craigslist.org/mcd/d/austin-2017-harley-davidson-xg750a/7102834345.html,5980.0,Austin
2020-04-03 08:24:00,"(Austin, Tx",2019 Kawasaki KX450,https://austin.craigslist.org/mcd/d/austin-2019-kawasaki-kx450/7102834328.html,6990.0,Austin
2020-04-03 08:24:00,"(Austin, Tx",2017 BMW R 1200 GS ADVENTURE,https://austin.craigslist.org/mcd/d/austin-2017-bmw-1200-gs-adventure/7102834291.html,16980.0,Austin
2020-04-03 08:24:00,"(Austin, Tx",2019 Yamaha YZ250F,https://austin.craigslist.org/mcd/d/austin-2019-yamaha-yz250f/7102834272.html,6980.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",2019 Harley-Davidson® FXDRS - FXDR 114,https://austin.craigslist.org/mcd/d/round-rock-2019-harley-davidson-fxdrs/7102824970.html,16950.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",2017 Harley-Davidson® FXDL - Low Rider®,https://austin.craigslist.org/mcd/d/round-rock-2017-harley-davidson-fxdl/7102824882.html,9999.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",1991 Harley-Davidson® FXDB - Dyna® Glide® Sturgis,https://austin.craigslist.org/mcd/d/round-rock-1991-harley-davidson-fxdb/7102824860.html,7480.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",2015 Harley-Davidson® FLTRUSE - CVO Road Glide® Ultra,https://austin.craigslist.org/mcd/d/round-rock-2015-harley-davidson-fltruse/7102824827.html,19499.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",2018 Harley-Davidson® FLRT - Freewheeler®,https://austin.craigslist.org/mcd/d/round-rock-2018-harley-davidson-flrt/7102824829.html,21980.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",2014 Ducati HyperMotard,https://austin.craigslist.org/mcd/d/round-rock-2014-ducati-hypermotard/7102824810.html,6893.0,Austin
2020-04-03 08:01:00,"(Round Rock, Tx",2015 Harley-Davidson® FLHTK - Ultra Limited,https://austin.craigslist.org/mcd/d/round-rock-2015-harley-davidson-flhtk/7102824786.html,12699.0,Austin
2020-04-03 08:00:00,"(Round Rock, Tx",2016 BMW K 1600 GT Premium,https://austin.craigslist.org/mcd/d/round-rock-2016-bmw-1600-gt-premium/7102824777.html,13999.0,Austin
2020-03-20 08:14:00,"(Round Rock, Tx",2016 BMW K 1600 GT Premium,https://austin.craigslist.org/mcd/d/round-rock-2016-bmw-1600-gt-premium/7096236869.html,13999.0,Austin
2020-04-03 08:00:00,"(Round Rock, Tx",2012 Harley-Davidson® FLHTK - Electra Glide® Ultra Limited,https://austin.craigslist.org/mcd/d/round-rock-2012-harley-davidson-flhtk/7102824781.html,10999.0,Austin
2020-03-19 22:40:00,"(Round Rock, Tx",2012 Harley-Davidson® FLHTK - Electra Glide® Ultra Limited,https://austin.craigslist.org/mcd/d/round-rock-2012-harley-davidson-flhtk/7096158874.html,10999.0,Austin
2020-04-02 21:26:00,(Sw Austin Near Dripping,2008 Harley Davidson Nightster Stage 4 Screaming Eagle,https://austin.craigslist.org/mcy/d/austin-2008-harley-davidson-nightster/7102738609.html,8000.0,Austin
2020-04-02 20:41:00,(Del Valle,2010 Kawasaki Ninja 250 ( special edition ),https://austin.craigslist.org/mcy/d/del-valle-2010-kawasaki-ninja-250/7102726987.html,2900.0,Austin
2020-04-02 19:24:00,(Sw Austin,Custom 2000 Suzuki Bandit 600s GSF600,https://austin.craigslist.org/mcy/d/austin-custom-2000-suzuki-bandit-600s/7102703017.html,1500.0,Austin
2020-04-02 16:18:00,(Liberty Hill,2015 Honda CTX700 (Manual),https://austin.craigslist.org/mcy/d/liberty-hill-2015-honda-ctx700-manual/7102624547.html,4800.0,Austin
2020-04-02 16:09:00,(South Austin | Finance & Layaway & Delivery Available,Kids 70cc-125cc $499-$1200 Adults 125cc-400cc $999-$3999 ATV UTV BUGGY,https://austin.craigslist.org/mcd/d/san-marcos-kids-70cc-125cc-adults-125cc/7102619926.html,699.0,Austin
2020-04-07 23:05:00,(Jackson,2007 Crf150rb,https://atlanta.craigslist.org/sat/mcy/d/jackson-2007-crf150rb/7105079927.html,2100.0,Atlanta
2020-04-07 17:43:00,(Austell,2015 victory cross country,https://atlanta.craigslist.org/wat/mcy/d/austell-2015-victory-cross-country/7104962448.html,13500.0,Atlanta
